county,NumOperations2012,AcresHarv2012,NumOperations2017,AcresHarv2017
adams,353,249061,384,"283,538"
alamosa,165,46716,149,59432
arapahoe,158,54939,206,44558
archuleta,176,8934,151,8124
baca,116,60638,89,44643
bent,97,27459,80,33572
boulder,533,30123,704,28868
broomfield,20,null,17,2221
chaffee,113,10831,154,12419
cheyenne,181,244961,200,308850
clearcreek,7,null,19,454
conejos,456,82952,388,103574
costilla,159,29085,166,31267
crowley,41,4721,53,4052
custer,77,15375,110,20527
delta,989,44114,"1,198",49214
denver,5,null,7,null
dolores,101,24651,111,31048
douglas,228,8074,305,"12,371"
eagle,88,9585,170,12404
elpaso,150,11166,232,18121
elbert,224,59520,408,77935
fremont,407,7873,565,9668
garfield,376,25102,421,41885
gilpin,4,null,8,145
grand,124,30548,156,30952
gunnison,142,33921,179,41202
hinsdale,7,407,15,947
huerfano,134,9344,150,9152
jackson,58,51885,73,61097
jefferson,171,6233,228,3362
kiowa,165,248307,167,null
kitcarson,349,398644,317,497533
laplata,654,39908,634,39672
lake,7,459,8,530
larimer,706,68189,"1,007",66092
lasanimas,195,16143,210,25713
lincoln,178,222391,184,null
logan,522,266884,471,338105
mesa,1574,58311,"1,750",50065
mineral,3,540,4,null
moffat,167,33697,227,48941
montezuma,653,60617,620,76013
montrose,794,56464,754,45940
morgan,417,171272,407,207058
otero,259,47269,234,50652
ouray,55,7000,53,7883
park,48,3570,75,6934
phillips,222,236894,224,248339
pitkin,54,3791,61,4555
prowers,267,205301,249,86112
pueblo,266,16020,271,19147
rioblanco,171,23374,193,29221
riogrande,262,84934,228,84274
routt,255,34301,613,47525
saguache,154,80371,157,99231
sanjuan,null,null,null,null
sanmiguel,54,5043,50,5737
sedgwick,158,131355,164,165060
summit,22,3665,24,4082
teller,25,null,39,1884
washington,410,327098,390,473869
weld,1636,426823,"1,853",477839
yuma,398,364045,365,390328
